City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,susuman,62.7833,148.1667,-33.43,99,81,0.81,RU,1732324764
1,yellowknife,62.456,-114.3525,3.72,85,75,10.36,CA,1732324505
2,napasar,27.9667,73.55,64.13,30,0,6.71,IN,1732324767
3,mariehamn,60.0973,19.9348,24.66,74,0,5.75,AX,1732324769
4,igarka,67.4667,86.5833,-11.87,100,91,3.11,RU,1732324770
5,kenai,60.5544,-151.2583,21.29,86,0,3.44,US,1732324771
6,laranjeiras do sul,-25.4078,-52.4161,63.82,98,58,4.09,BR,1732324582
7,port-aux-francais,-49.35,70.2167,39.0,80,100,14.76,TF,1732324774
8,invercargill,-46.4,168.35,55.02,67,90,14.0,NZ,1732324775
9,kristiansund,63.1115,7.732,40.12,75,75,11.5,NO,1732324776
10,grantsville,40.5999,-112.4644,37.38,81,0,4.61,US,1732324777
11,geraldton,-28.7667,114.6,77.41,38,0,10.67,AU,1732324779
12,hermanus,-34.4187,19.2345,58.8,85,100,6.71,ZA,1732324780
13,udachny,66.4167,112.4,-0.62,97,100,11.01,RU,1732324781
14,ghat,24.9647,10.1728,64.31,33,12,7.29,LY,1732324785
15,kingston,17.997,-76.7936,81.55,78,20,2.3,JM,1732324724
16,grytviken,-54.2811,-36.5092,42.62,68,94,1.63,GS,1732324788
17,nuuk,64.1835,-51.7216,23.61,58,13,18.41,GL,1732324789
18,alegrete,-29.7831,-55.7919,66.92,85,8,12.53,BR,1732324565
19,punta arenas,-53.15,-70.9167,48.31,81,40,6.91,CL,1732324578
20,polyarnyy,69.1989,33.4478,28.22,76,47,32.3,RU,1732324793
21,pimentel,-6.8367,-79.9342,66.49,88,0,17.27,PE,1732324794
22,sefwi wiawso,6.2044,-2.4886,74.32,82,92,1.07,GH,1732324795
23,cadale,2.7603,46.3222,80.13,79,100,10.54,SO,1732324797
24,gantang,26.92,119.6333,60.24,68,46,2.24,CN,1732324798
25,talnakh,69.4865,88.3972,-19.32,98,99,10.02,RU,1732324799
26,arraial do cabo,-22.9661,-42.0278,67.96,94,100,8.05,BR,1732324800
27,utrik,11.2278,169.8474,82.94,79,30,20.29,MH,1732324801
28,coquimbo,-29.9533,-71.3436,58.73,88,0,3.44,CL,1732324803
29,lebu,-37.6167,-73.65,55.78,96,48,5.41,CL,1732324804
30,puerto natales,-51.7236,-72.4875,44.51,87,100,10.13,CL,1732324806
31,tsarevo,42.1667,27.85,64.56,69,100,23.15,BG,1732324807
32,khark,29.2614,50.3306,74.89,50,0,21.59,IR,1732324808
33,geita,-2.8708,32.2341,62.74,94,22,0.6,TZ,1732324810
34,edinburgh of the seven seas,-37.0676,-12.3116,53.26,75,91,18.9,SH,1732324811
35,klyuchi,52.2667,79.1667,10.89,96,100,2.48,RU,1732324812
36,olonkinbyen,70.9221,-8.7187,23.5,61,95,12.35,SJ,1732324815
37,fale old settlement,-9.3852,-171.2468,83.82,74,100,16.2,TK,1732324817
38,argo,37.6333,22.7333,62.35,75,99,7.16,GR,1732324819
39,stanley,54.868,-1.6985,30.52,94,100,1.14,GB,1732324821
40,kununurra,-15.7667,128.7333,94.98,52,9,5.75,AU,1732324602
41,hoa binh,20.8133,105.3383,68.7,70,47,1.9,VN,1732324824
42,papatowai,-46.5619,169.4708,52.48,57,100,13.51,NZ,1732324825
43,lycksele,64.5954,18.6735,12.07,85,61,4.61,SE,1732324826
44,adamstown,-25.066,-130.1015,73.74,85,100,15.93,PN,1732324828
45,olinda,-8.0089,-34.8553,80.33,74,75,10.36,BR,1732324829
46,longyearbyen,78.2186,15.6401,17.44,67,40,10.36,SJ,1732324830
47,sonoita,31.85,-112.8333,65.26,14,80,2.95,MX,1732324831
48,tsiroanomandidy,-18.7667,46.0333,71.47,78,26,0.96,MG,1732324833
49,noyabrsk,63.1994,75.4507,15.39,94,100,19.89,RU,1732324834
50,whitehorse,60.7161,-135.0538,9.37,85,40,11.5,CA,1732324818
51,wailua homesteads,22.0669,-159.378,78.13,64,0,8.05,US,1732324836
52,amga,60.8953,131.9608,-14.1,100,62,2.39,RU,1732324837
53,afua,-0.1567,-50.3867,78.91,76,0,7.07,BR,1732324839
54,kapa'a,22.0752,-159.319,79.48,64,0,8.05,US,1732324840
55,ushuaia,-54.8,-68.3,46.06,87,75,13.8,AR,1732324841
56,bodo,67.28,14.405,30.24,100,100,27.63,NO,1732324842
57,bethel,41.3712,-73.414,40.91,88,100,4.61,US,1732324553
58,jamestown,42.097,-79.2353,40.01,97,100,11.5,US,1732324845
59,mahina,-17.5065,-149.489,87.57,62,75,11.5,PF,1732324846
60,tazacorte,28.629,-17.9293,69.15,48,0,8.01,ES,1732324849
